"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","PASSCAR","TOT","IDX2015","M","2016-09",99.9820382943564,
"BEL","PASSCAR","TOT","IDX2015","M","2016-10",100.51130988732,
"BEL","PASSCAR","TOT","IDX2015","M","2016-11",94.9455760319,
"BEL","PASSCAR","TOT","IDX2015","M","2016-12",80.284034438577,
"BEL","PASSCAR","TOT","IDX2015","M","2017-01",123.818419130414,
"BEL","PASSCAR","TOT","IDX2015","M","2017-02",124.395588605094,
"BEL","PASSCAR","TOT","IDX2015","M","2017-03",146.246602244016,
"BEL","PASSCAR","TOT","IDX2015","M","2017-04",122.455724395589,
"BEL","PASSCAR","TOT","IDX2015","M","2017-05",122.958652153608,
"BEL","PASSCAR","TOT","IDX2015","M","2017-06",132.004167115709,
"BEL","PASSCAR","TOT","IDX2015","M","2017-07",87.7177856809283,
"BEL","PASSCAR","TOT","IDX2015","M","2017-08",85.0594532456802,
"BEL","PASSCAR","TOT","IDX2015","M","2017-09",97.9391936391613,
"BEL","PASSCAR","TOT","IDX2015","M","2017-10",104.177892732694,
"BEL","PASSCAR","TOT","IDX2015","M","2017-11",94.9455760319,
"BEL","PASSCAR","TOT","IDX2015","M","2017-12",67.2294667768318,
"BEL","PASSCAR","TOT","IDX2015","M","2018-01",136.195231765875,
"BEL","PASSCAR","TOT","IDX2015","M","2018-02",120.360192070506,
"BEL","PASSCAR","TOT","IDX2015","M","2018-03",139.936056327909,
"BEL","PASSCAR","TOT","IDX2015","M","2018-04",130.766006873346,
"BEL","PASSCAR","TOT","IDX2015","M","2018-05",131.716779825412,
"BEL","PASSCAR","TOT","IDX2015","M","2018-06",134.619391457413,
"BEL","PASSCAR","TOT","IDX2015","M","2018-07",102.432014944139,
"BEL","PASSCAR","TOT","IDX2015","M","2018-08",130.370849349188,
"BEL","PASSCAR","TOT","IDX2015","M","2018-09",65.0093999592868,
"BEL","PASSCAR","TOT","IDX2015","M","2018-10",88.3572224018393,
"BEL","PASSCAR","TOT","IDX2015","M","2018-11",80.9929230879764,
"BEL","PASSCAR","TOT","IDX2015","M","2018-12",55.5543581085126,
"BEL","PASSCAR","TOT","IDX2015","M","2019-01",122.316820538612,
"BEL","PASSCAR","TOT","IDX2015","M","2019-02",119.550717869502,
"BEL","PASSCAR","TOT","IDX2015","M","2019-03",131.4150231706,
"BEL","PASSCAR","TOT","IDX2015","M","2019-04",128.122043802613,
"BEL","PASSCAR","TOT","IDX2015","M","2019-05",122.333584797212,
"BEL","PASSCAR","TOT","IDX2015","M","2019-06",119.850079630228,
"BEL","PASSCAR","TOT","IDX2015","M","2019-07",108.033672210846,
"BEL","PASSCAR","TOT","IDX2015","M","2019-08",114.801642897343,
"BEL","PASSCAR","TOT","IDX2015","M","2019-09",85.5456167450994,
"BEL","PASSCAR","TOT","IDX2015","M","2019-10",102.293111087162,
"BEL","PASSCAR","TOT","IDX2015","M","2019-11",82.8010681227623,
"BEL","PASSCAR","TOT","IDX2015","M","2019-12",80.1499203697716,
"BEL","PASSCAR","TOT","IDX2015","M","2020-01",124.151309408341,
"BEL","PASSCAR","TOT","IDX2015","M","2020-02",112.021170863719,
"BEL","PASSCAR","TOT","IDX2015","M","2020-03",68.9753445653866,
"BEL","PASSCAR","TOT","IDX2015","M","2020-04",12.6833590784448,
"BEL","PASSCAR","TOT","IDX2015","M","2020-05",83.2273592700363,
"BEL","PASSCAR","TOT","IDX2015","M","2020-06",117.687490270743,
"BEL","PASSCAR","TOT","IDX2015","M","2020-07",106.649423429249,
"BEL","PASSCAR","TOT","IDX2015","M","2020-08",87.1430111003341,
"BEL","PASSCAR","TOT","IDX2015","M","2020-09",86.4149632982481,
"BEL","PASSCAR","TOT","IDX2015","M","2020-10",92.6895858030679,
"BEL","PASSCAR","TOT","IDX2015","M","2020-11",69.6986025793009,
"BEL","PASSCAR","TOT","IDX2015","M","2020-12",72.0336243129648,
"BEL","PASSCAR","TOT","IDX2015","M","2021-01",90.3713283280047,
